Example_CSV
Product Page,Product Name,Price,Ratings,Product Image
https://www.amazon.co.uk/WAICID-Windows-Laptops-Computer-Bluetooth/dp/B0BXXSZJLF/ref=sr_1_1?keywords=Laptop&qid=1684115179&sr=8-1,"WAICID Laptop 15.6 Inch, 512GB SSD 12GB DDR4, Windows 11 Laptops Computer with Intel Celeron N5095(4M Cache, up to 2.9 GHz), USB Type-C, IPS FHD 1080P Display, 5G/2.4Ghz WiFi, 2*USB3.0, Bluetooth 4.2",299,5.0,https://m.media-amazon.com/images/I/718f4xdEJzL._AC_UY218_.jpg
https://www.amazon.co.uk/ASUS-Vivobook-X515JA-Windows-X515JA-EJ2133W/dp/B0B5H8DCBS/ref=sr_1_2?keywords=Laptop&qid=1684115179&sr=8-2,"ASUS Vivobook 15 X515JA 15.6 Full HD Laptop (Intel Core i3, 8GB RAM, 256GB PCIe SSD, Windows 11), Silver (X515JA-EJ2133W)",289,4.5,https://m.media-amazon.com/images/I/61P6QudnTgL._AC_UY218_.jpg
https://www.amazon.co.uk/SGIN-Windows-Notebook-Keyboard-Languages/dp/B0BWJ2357D/ref=sr_1_3?keywords=Laptop&qid=1684115179&sr=8-3,"SGIN 15.6 Inch Laptop Windows 11 8GB RAM 256GB SSD Celeron N4020 Up to 2.8GHz, PC Notebook with Dual Band WiFi, 2xUSB 3.0, Keyboard Film in Eight Languages (Black)",209,4.6,https://m.media-amazon.com/images/I/71+1c632fRL._AC_UY218_.jpg
https://www.amazon.co.uk/jumper-Laptop-Office-1920x1200-Display/dp/B0C23PW5ZB/ref=sr_1_4?keywords=Laptop&qid=1684115179&sr=8-4,"jumper 16 Inch Laptop with Office 365, 1920x1200 FHD IPS Display (16:10), Intel Celeron J4105 Ultrabook, 4GB DDR4 128GB Laptops, Four Stereo Speakers, 38WH Battery, Dual-band Wi-Fi, Windows11 home",249,5.0,https://m.media-amazon.com/images/I/81TdjGd7p0L._AC_UY218_.jpg
https://www.amazon.co.uk/SGIN-1920x1080-Notebook-Keyboard-Languages/dp/B0BWJ47J1V/ref=sr_1_5?keywords=Laptop&qid=1684115179&sr=8-5,"SGIN 15.6 Inch Laptop Windows 11 (12GB RAM, 512GB SSD Celeron N5095), Full HD 1920x1080 Notebook with Keyboard Film in Eight Languages, Mini HDMI,Gray",299,4.4,https://m.media-amazon.com/images/I/61T5E+IDImL._AC_UY218_.jpg
https://www.amazon.co.uk/ASUS-E510MA-BR847WS-notebook-DDR4-SDRAM-802-11ac/dp/B0B4WQKPN4/ref=sr_1_6?keywords=Laptop&qid=1684115179&sr=8-6,"ASUS VivoBook E510MA 15.6"" Laptop with Microsoft Office 365 (Intel Celeron, 4GB RAM, 64GB eMMC, Windows 11 S with Microsoft Office 365)",217,4.3,https://m.media-amazon.com/images/I/61OnM8xj6iL._AC_UY218_.jpg
https://www.amazon.co.uk/CHUWI-HeroBook-Pro-Ultrabook-Decoding/dp/B083DQPPT3/ref=sr_1_7?keywords=Laptop&qid=1684115179&sr=8-7,"CHUWI Herobook Pro Windows 11 Laptop, 14 inch 8GB RAM 256GB SSD(TF 512GB), FHD(1920x1080) 16:9 IPS Laptops, Intel N4020(1.1 to 2.8GHz), 4K Video, WiFi, BT4.0, Mini-HDMI Support Win11",179,3.9,https://m.media-amazon.com/images/I/614PhW7PR6L._AC_UY218_.jpg
https://www.amazon.co.uk/Lenovo-RadeonTM-Graphics-Fingerprint-Windows/dp/B0BXXTMDFK/ref=sr_1_8?keywords=Laptop&qid=1684115179&sr=8-8,"New Lenovo Laptop AMD Ryzen Pro 4000 Series CPU, 32GB RAM, 1TB SSD, AMD Radeon™ Graphics, Fingerprint Reader, Windows 11 Pro",695,Lost,https://m.media-amazon.com/images/I/61HUk+hBDZL._AC_UY218_.jpg
https://www.amazon.co.uk/jumper-1920x1080-Ultrabook-Processor-Bluetooth/dp/B0BZYW4HRN/ref=sr_1_9?keywords=Laptop&qid=1684115179&sr=8-9,"jumper Windows 11 Laptop,8GB RAM 256GB SSD Laptops,13.3 Inch 1920x1080 Pixels Ultrabook,Intel Celeron Processor Computer,Laptops with WiFi,USB 3.0,Bluetooth,Thin and Portable,Gray",249,4.6,https://m.media-amazon.com/images/I/61C6c1wSjdL._AC_UY218_.jpg
https://www.amazon.co.uk/Lenovo-IdeaPad-Celeron-Windows-Microsoft/dp/B0B5XMMQVP/ref=sr_1_10?keywords=Laptop&qid=1684115179&sr=8-10,"Lenovo IdeaPad 1 15 Inch FHD Intel Celeron, 4GB RAM, 128GB SSD, Windows 11 with 1 Year Microsoft Office - Cloud Grey Laptop",290,4.4,https://m.media-amazon.com/images/I/61CD-sYrglL._AC_UY218_.jpg
